"","ï»¿state_code","Trump_vote","Cliton_vote","rate","Trump","Clinton","Trump_win_ornot"
"1","AL",1318255,729547,0.2874,0.6437,0.3563,1
"2","AK",163387,116454,0.1678,0.5839,0.4161,1
"3","AZ",1252401,1161167,0.0378,0.5189,0.4811,1
"4","AR",684872,380494,0.2858,0.6429,0.3571,1
"5","CA",4483810,9753788,-0.3702,0.3149,0.6851,0
"6","CO",1202484,1338870,-0.0536,0.4732,0.5268,0
"7","CT",673215,897572,-0.1428,0.4286,0.5714,0
"8","DC",12723,282830,-0.914,0.043,0.957,0
"9","DE",185127,235603,-0.12,0.44,0.56,0
"10","FL",4617886,4504975,0.0124,0.5062,0.4938,1
"11","GA",2089104,1877963,0.0532,0.5266,0.4734,1
"12","HI",128847,266891,-0.3488,0.3256,0.6744,0
"13","ID",409055,189765,0.3662,0.6831,0.3169,1
"14","IL",2146015,3090729,-0.1804,0.4098,0.5902,0
"15","IN",1557286,1033126,0.2024,0.6012,0.3988,1
"16","IA",800983,653669,0.1012,0.5506,0.4494,1
"17","KS",671018,427005,0.2222,0.6111,0.3889,1
"18","KY",1202971,628854,0.3134,0.6567,0.3433,1
"19","LA",1178638,780154,0.2034,0.6017,0.3983,1
"20","ME",335593,357735,-0.032,0.484,0.516,0
"21","MD",943169,1677928,-0.2804,0.3598,0.6402,0
"22","MA",1090893,1995196,-0.293,0.3535,0.6465,0
"23","MI",2279543,2268839,0.0024,0.5012,0.4988,1
"24","MN",1322951,1367716,-0.0166,0.4917,0.5083,0
"25","MS",700714,485131,0.1818,0.5909,0.4091,1
"26","MO",1594511,1071068,0.1964,0.5982,0.4018,1
"27","MT",279240,177709,0.2222,0.6111,0.3889,1
"28","NE",495961,284494,0.271,0.6355,0.3645,1
"29","NV",512058,539260,-0.0258,0.4871,0.5129,0
"30","NH",345790,348526,-0.004,0.498,0.502,0
"31","NJ",1601933,2148278,-0.1456,0.4272,0.5728,0
"32","NM",319667,385234,-0.093,0.4535,0.5465,0
"33","NY",2819534,4556124,-0.2354,0.3823,0.6177,0
"34","NC",2362631,2189316,0.038,0.519,0.481,1
"35","ND",216794,93758,0.3962,0.6981,0.3019,1
"36","OH",2841005,2394164,0.0854,0.5427,0.4573,1
"37","OK",949136,320375,0.4952,0.7476,0.2524,1
"38","OR",782403,1002106,-0.1232,0.4384,0.5616,0
"39","PA",2970733,2926441,0.0076,0.5038,0.4962,1
"40","RI",180543,252525,-0.1662,0.4169,0.5831,0
"41","SC",1155389,855373,0.1492,0.5746,0.4254,1
"42","SD",227721,117458,0.3194,0.6597,0.3403,1
"43","TN",1522925,870695,0.2724,0.6362,0.3638,1
"44","TX",4685047,3877868,0.0942,0.5471,0.4529,1
"45","UT",515231,310676,0.2476,0.6238,0.3762,1
"46","VT",95369,178573,-0.3038,0.3481,0.6519,0
"47","VA",1768443,1981473,-0.0568,0.4716,0.5284,0
"48","WA",1221747,1742718,-0.1758,0.4121,0.5879,0
"49","WV",389471,188794,0.347,0.6735,0.3265,1
"50","WI",1405284,1382536,0.0082,0.5041,0.4959,1
"51","WY",174419,55973,0.5142,0.7571,0.2429,1
